Name, RA_J2000,DEC_J2000,U,B,V,R,I,G_BP,G,G_RP
[CS62] E6 50 , 221.46667 , -45.25778 , 11.390 , 11.045 , 10.700 , 10.510 , 10.300 , 10.831 , 10.644 , 10.346 
[CS62] E6 g  , 221.59625 , -45.58889 , 13.286 , 12.728 , 12.170 , 11.830 , 11.500 , 12.348 , 12.041 , 11.572 
[CS62] E6 l  , 221.60458 , -45.48028 , 14.968 , 13.649 , 12.330 , 11.630 , 11.010 , 12.645 , 11.923 , 11.118 
[CS62] E6 n  , 221.64750 , -45.40500 , 14.940 , 13.880 , 12.820 , 12.260 , 11.720 , 13.109 , 12.527 , 11.817 
[CS62] E6 r  , 221.56417 , -45.41889 , 16.144 , 15.157 , 14.170 , 13.630 , 13.090 , 14.447 , 13.892 , 13.202 
[CS62] E7 32 , 261.42000 , -44.77944 , 10.126 ,  8.883 ,  7.640 ,  7.030 ,  6.460 ,  7.922 ,  7.271 ,  6.533 
[CS62] E7 16 , 261.42375 , -45.26611 ,  8.576 ,  8.333 ,  8.090 ,  7.950 ,  7.810 ,  8.194 ,  8.055 ,  7.854 
[CS62] E7 11 , 261.99292 , -44.72083 ,  9.278 ,  8.959 ,  8.640 ,  8.470 ,  8.310 ,  8.755 ,  8.584 ,  8.327 
[CS62] E7 64 , 262.16333 , -46.89222 , 12.508 , 10.959 ,  9.410 ,  8.290 ,  6.970 , 20.757 , 20.841 , 19.469 
[CS62] E7 7  , 261.72250 , -44.70194 , 10.120 , 10.055 ,  9.990 ,  9.930 ,  9.850 , 10.030 ,  9.997 ,  9.941 
[CS62] E7 8  , 261.56625 , -45.17472 , 10.884 , 10.712 , 10.540 , 10.430 , 10.310 , 10.614 , 10.505 , 10.312 
[CS62] E7 52 , 261.85792 , -44.92111 , 10.818 , 10.794 , 10.770 , 10.740 , 10.720 , 10.760 , 10.750 , 10.719 
[CS62] E7 b  , 261.85167 , -45.09083 , 12.174 , 11.562 , 10.950 , 10.540 , 10.120 , 11.129 , 10.727 , 10.171 
